seed,arm,fold,periods,first_date,last_date,gross_return_annualised,net_return_annualised,net_sharpe,annualised_turnover,mean_cost_bp
2,B1,2,12,2019-05-15,2020-04-14,0.12517615687022093,0.11837437014810027,2.517448827188302,2.1840816326530614,5.668155601767211
2,B1,3,12,2020-05-13,2021-04-14,0.3146674592770181,0.30872952109326424,2.0595468412941385,2.01,4.948281819794812
2,B1,4,12,2021-05-13,2022-04-12,-0.04715774533975704,-0.05362086702297386,-0.7238114267805219,2.1900000000000004,5.385934736014007
2,B1,5,12,2022-05-12,2023-04-14,0.3811942409195356,0.37473701414477195,1.7886524082295219,2.19,5.381022312303038
2,B1,6,12,2023-05-15,2024-04-16,-0.0361399137856869,-0.04277308627374321,-0.4159027453530711,2.24,5.5276437400469005
2,B1,7,12,2024-05-15,2025-04-17,0.06798954417530671,0.060826199390110136,0.5737164166431805,2.47,5.969453987663806
3,B0,0,50,2017-05-12,2018-05-03,-0.026281825803305403,-0.05097258785572333,-1.0959250435087609,7.540662857142856,4.898960724686097
3,B0,1,50,2018-05-10,2019-05-02,0.12895132897735492,0.1079430830787081,1.2606738902099728,6.5112685714285705,4.168302757668024
3,B0,2,51,2019-05-09,2020-05-05,0.11659503523184926,0.08881911833286892,0.7390880634295941,8.756369747899159,5.511094622813562
3,B0,3,50,2020-05-12,2021-05-03,0.18596232096437026,0.16576667949290114,1.5988423624103736,6.572159999999998,4.007071720529589
3,B0,4,50,2021-05-10,2022-04-28,-0.08172980461588908,-0.10098151879750282,-1.0728823802793732,6.3139885714285695,3.819784559843999
3,B0,5,51,2022-05-05,2023-05-04,0.06410002965067559,0.0438751184953682,0.1541460265220524,6.631058823529411,4.012879197481614
3,B0,6,50,2023-05-11,2024-05-02,0.02582321116084822,0.006212290679178112,0.06718219090911477,6.4008,3.891055651125022
3,B0,7,51,2024-05-09,2025-05-09,0.10607600986688592,0.08635189370004243,0.9892621613193303,6.542117647058823,3.913515112468945
3,B1,0,12,2017-05-12,2018-04-13,-0.0019829889337656774,-0.010955216581294579,-0.23577725650563458,2.79,7.476856372940754
3,B1,1,12,2018-05-14,2019-04-15,0.08476736548327586,0.07785297260108213,1.1077859693784937,2.249387755102041,5.76199406849476
3,B1,2,12,2019-05-15,2020-04-14,0.14955736504282316,0.14197296677668783,1.93167173530078,2.454489795918368,6.32033188844611
3,B1,3,12,2020-05-13,2021-04-14,0.23816938616710542,0.2317391949931258,1.76684109786049,2.17,5.358492644982987
3,B1,4,12,2021-05-13,2022-04-12,-0.08547370192556031,-0.09227240333555455,-0.9888879082779936,2.3000000000000003,5.665584508328513
3,B1,5,12,2022-05-12,2023-04-14,0.29508266873412525,0.2884404784366242,1.5396221816470432,2.26,5.535158581250876
3,B1,6,12,2023-05-15,2024-04-16,-0.04741271945891121,-0.054116751672129294,-0.5492971026442766,2.27,5.586693511015077
3,B1,7,12,2024-05-15,2025-04-17,0.044716205989044654,0.03765617096762822,0.3940483718968468,2.42,5.883362517847026
4,B0,0,50,2017-05-12,2018-05-03,0.003684990072755622,-0.02143654941157948,-0.49831358166491335,7.662445714285712,4.984432437368075
4,B0,1,50,2018-05-10,2019-05-02,0.09871885248111285,0.07808165552310221,0.9601876316004271,6.377554285714286,4.094681936113231
4,B0,2,51,2019-05-09,2020-05-05,0.05697061299013069,0.029277384231584987,0.23810093172351565,8.706756302521008,5.494688245743192
4,B0,3,50,2020-05-12,2021-05-03,0.1877713389369637,0.16771645481859898,1.5522019844315371,6.501599999999999,3.9791436742787085
4,B0,4,50,2021-05-10,2022-04-28,-0.0632939425192369,-0.08221702354401125,-1.0263759040840352,6.203314285714285,3.7545795684076113
4,B0,5,51,2022-05-05,2023-05-04,0.44793388956091384,0.4276943847595279,0.9434790365221752,6.621176470588234,4.0157747621797375
4,B0,6,50,2023-05-11,2024-05-02,0.020223748891497764,0.0008060532727964592,0.0090264858286116,6.299999999999999,3.8527173846629568
4,B0,7,51,2024-05-09,2025-05-09,0.13801415436750772,0.1182430285275478,1.2147192562523212,6.5915294117647045,3.9228424285634844
4,B1,0,12,2017-05-12,2018-04-13,0.009422320971443639,0.000211450959111497,0.004504174679090671,2.88,7.675725010276778
4,B1,1,12,2018-05-14,2019-04-15,-0.014402950412888575,-0.021396605991763063,-0.6885708428285047,2.2779591836734694,5.828046315728741
4,B1,2,12,2019-05-15,2020-04-14,0.07917415235703619,0.07235926121270922,1.2622830116586186,2.193877551020408,5.679075953605813
4,B1,3,12,2020-05-13,2021-04-14,0.22988075764786725,0.22376488087095842,1.7010392319194567,2.06,5.096563980757291
4,B1,4,12,2021-05-13,2022-04-12,-0.0995214833150313,-0.10620080994496883,-1.3045516808165547,2.27,5.566105524947924
4,B1,5,12,2022-05-12,2023-04-14,0.5725912338534818,0.5660011422611941,1.4945880443001172,2.2399999999999998,5.491742993572932
4,B1,6,12,2023-05-15,2024-04-16,-0.0230715877477532,-0.0299348448130582,-0.3336884997136213,2.3200000000000003,5.71938088775416
4,B1,7,12,2024-05-15,2025-04-17,0.08207733990061276,0.07487914096533115,0.7766378948905268,2.49,5.998499112734705
5,B0,0,50,2017-05-12,2018-05-03,0.0044670323762843415,-0.02033374574926499,-0.3880230753067254,7.571725714285713,4.920789310624868
5,B0,1,50,2018-05-10,2019-05-02,0.0881429340931763,0.06762871117469928,0.7499961479356271,6.368502857142857,4.070282325094656
5,B0,2,51,2019-05-09,2020-05-05,0.057034051207706715,0.029718802538508324,0.2445079661909184,8.617613445378149,5.419692196269522
5,B0,3,50,2020-05-12,2021-05-03,0.19877749707955844,0.17910304067676944,1.755310057084706,6.4008,3.9036619846803537
5,B0,4,50,2021-05-10,2022-04-28,-0.14829774762906717,-0.1677232086749776,-1.7354665858819773,6.384959999999999,3.8542581440298496
5,B0,5,51,2022-05-05,2023-05-04,0.07388269631429455,0.05381969160781245,0.2006260239248306,6.5915294117647045,3.980754902079782
5,B0,6,50,2023-05-11,2024-05-02,-0.009901039631738905,-0.0290967453971821,-0.32172820363876486,6.27984,3.8086717788577773
5,B0,7,51,2024-05-09,2025-05-09,0.11293790710184011,0.09305871098713404,0.9372633018562625,6.621176470588234,3.9442849433940665
5,B1,0,12,2017-05-12,2018-04-13,-0.0070929156933420695,-0.016558591733328083,-0.34655397567352125,2.95,7.888063366655015
5,B1,1,12,2018-05-14,2019-04-15,0.03214218011328138,0.025197779746020922,0.9921942645700138,2.2777551020408167,5.7870003060503885
5,B1,2,12,2019-05-15,2020-04-14,0.13150612768959033,0.12434017356060198,2.4346661005773846,2.3138775510204086,5.971628440823627
