seed,metric,b0,b1,difference_b1_minus_b0
4,effective_n_short,49.583126550868485,49.8125,0.22937344913151492
4,max_abs_weight,0.1,0.010869565217391304,-0.08913043478260871
4,mean_eligible_names,246.87841191066997,248.22916666666666,1.3507547559966895
4,signal_age_median_sessions,5.0,7.0,2.0
4,signal_age_p95_sessions,5.0,9.0,4.0
4,signal_age_max_sessions,1935.0,644.0,-1291.0
4,share_signals_older_than_nominal,0.021599726611184818,0.007679395719681075,-0.013920330891503744
4,net_sharpe_1bp,0.5642909959067931,0.6370407009496002,0.07274970504280709
4,cost_share_of_gross_1bp,0.08139198040033538,0.027206682425071717,-0.05418529797526366
4,net_sharpe_3bp,0.549196360601801,0.6311586069012477,0.0819622462994467
4,cost_share_of_gross_3bp,0.10593683326690058,0.036167678222632754,-0.06976915504426782
4,net_sharpe_5bp,0.5341019789249176,0.6252766561153749,0.09117467719045724
4,cost_share_of_gross_5bp,0.13048168613346578,0.0451286740201938,-0.08535301211327198
4,cost_share_of_gross_10bp,0.1918438182998788,0.0675311635140964,-0.12431265478578239
4,net_sharpe_20bp,0.42090802666262284,0.5811669224293331,0.16025889576671026
4,cost_share_of_gross_20bp,0.31456808263270486,0.11233614250190158,-0.20223194013080328
5,rebalances,403.0,96.0,-307.0
5,scheduled_rebalances,403.0,96.0,-307.0
5,gross_sharpe,0.3643913026032109,0.47773526434892255,0.11334396174571165
5,net_sharpe_10bp,0.199990846952339,0.4122661392048225,0.2122752922524835
5,annualised_turnover,6.85766182204892,2.3077040816326533,-4.549957740416266
5,cost_share_of_gross,0.4509138865438632,0.1367471243584713,-0.3141667621853919
5,net_max_drawdown,-0.2009273367003761,-0.12508369968447686,0.07584363701589925
5,gross_max_drawdown,-0.1876705409269741,-0.12015555648529708,0.06751498444167703
5,gross_total_return,0.3788893095283048,0.4078767817775028,0.02898747224919801
5,net_total_return,0.15305502505669977,0.3607516599022056,0.20769663484550582
5,gross_cagr,0.039953573842979484,0.046507486270202625,0.006553912427223141
5,net_cagr,0.017970261587959557,0.039255565844310336,0.02128530425635078
5,holding_duration_rebalances,7.499420401854714,4.920203735144312,-2.5792166667104013
5,holding_duration_sessions,37.49710200927357,103.32427843803056,65.82717642875699
5,names_changed_per_rebalance,12.875621890547263,18.6,5.724378109452738
5,long_leg_retention,0.8731015584660266,0.8361107991665433,-0.036990759299483256
5,short_leg_retention,0.863959177270901,0.790359174333349,-0.07360000293755198
5,names_replaced_both_legs_fraction,0.13146963213153628,0.1867650132500539,0.05529538111851762
5,effective_n_long,49.526054590570716,49.78125,0.25519540942928387
5,effective_n_short,49.583126550868485,49.8125,0.22937344913151492
5,max_abs_weight,0.1,0.010869565217391304,-0.08913043478260871
5,mean_eligible_names,246.87841191066997,248.22916666666666,1.3507547559966895
5,signal_age_median_sessions,5.0,7.0,2.0
5,signal_age_p95_sessions,5.0,9.0,4.0
5,signal_age_max_sessions,1935.0,644.0,-1291.0
5,share_signals_older_than_nominal,0.021599726611184818,0.007679395719681075,-0.013920330891503744
5,net_sharpe_1bp,0.2949158446791395,0.45126333545756675,0.15634749077842724
5,cost_share_of_gross_1bp,0.19041208705616336,0.0552741397215627,-0.13513794733460066
5,net_sharpe_3bp,0.2738201694911049,0.4425963054166184,0.1687761359255135
5,cost_share_of_gross_3bp,0.24830137583120773,0.07337924741865351,-0.17492212841255422
5,net_sharpe_5bp,0.25272506549309715,0.4339298299486076,0.18120476445551048
5,cost_share_of_gross_5bp,0.3061906646062521,0.09148435511574432,-0.21470630949050779
5,cost_share_of_gross_10bp,0.4509138865438632,0.1367471243584713,-0.3141667621853919
5,net_sharpe_20bp,0.09454601977570865,0.3689500426572445,0.27440402288153587
5,cost_share_of_gross_20bp,0.7403603304190853,0.2272726628439253,-0.51308766757516
6,rebalances,403.0,96.0,-307.0
6,scheduled_rebalances,403.0,96.0,-307.0
6,gross_sharpe,0.49146797436849454,0.7082793306002354,0.21681135623174086
6,net_sharpe_10bp,0.32608743202897783,0.6438855980610434,0.31779816603206557
6,annualised_turnover,6.861362637362637,2.3127040816326527,-4.548658555729984
6,cost_share_of_gross,0.3363137883323622,0.09045540408636663,-0.24585838424599557
6,net_max_drawdown,-0.1875893587798172,-0.12431920734232427,0.06327015143749293
6,gross_max_drawdown,-0.15662280864377665,-0.12057507473575846,0.03604773390801819
6,gross_total_return,0.509531320419682,0.6184987483373756,0.10896742791769365
6,net_total_return,0.31370431481027494,0.6747766223926106,0.36107230758233566
6,gross_cagr,0.05711513267016488,0.07403477732705044,0.016919644656885557
6,net_cagr,0.03471216307208369,0.06658288695936698,0.03187072388728329
6,holding_duration_rebalances,7.48059470940336,4.878599661208357,-2.601995048195003
6,holding_duration_sessions,37.4029735470168,102.4505928853755,65.0476193383587
6,names_changed_per_rebalance,12.883084577114428,18.642105263157895,5.759020686043467
6,long_leg_retention,0.8724869444612208,0.8304409682856542,-0.0420459761755666
6,short_leg_retention,0.8652060043599457,0.7952497937390057,-0.06995621062093993
6,names_replaced_both_legs_fraction,0.13115352558941695,0.18715461898767005,0.0560010933982531
6,effective_n_long,49.526054590570716,49.78125,0.25519540942928387
6,effective_n_short,49.583126550868485,49.8125,0.22937344913151492
6,max_abs_weight,0.1,0.010869565217391304,-0.08913043478260871
6,mean_eligible_names,246.87841191066997,248.22916666666666,1.3507547559966895
6,signal_age_median_sessions,5.0,7.0,2.0
6,signal_age_p95_sessions,5.0,9.0,4.0
6,signal_age_max_sessions,1935.0,644.0,-1291.0
6,share_signals_older_than_nominal,0.021599726611184818,0.007679395719681075,-0.013920330891503744
6,net_sharpe_1bp,0.4213050497180661,0.6822047333264062,0.2608996836083401
6,cost_share_of_gross_1bp,0.1424991820711466,0.03661060833692676,-0.10588857373421984
6,net_sharpe_3bp,0.40014769208490747,0.6736879103948931,0.2735402183099856
6,cost_share_of_gross_3bp,0.18556909457363893,0.048576118503468955,-0.13699297607016997
6,net_sharpe_5bp,0.3789889936339963,0.665171912638395,0.28618291900439874
6,cost_share_of_gross_5bp,0.22863900707613127,0.06054162867001114,-0.16809737840612013
6,cost_share_of_gross_10bp,0.3363137883323622,0.09045540408636663,-0.24585838424599557
6,net_sharpe_20bp,0.22027217886932757,0.6013293026190621,0.38105712374973455
6,cost_share_of_gross_20bp,0.551663350844824,0.1502829549190776,-0.40138039592574637
7,rebalances,403.0,96.0,-307.0
7,scheduled_rebalances,403.0,96.0,-307.0
7,gross_sharpe,0.5856350724926789,0.7721399838226586,0.1865049113299797
7,net_sharpe_10bp,0.438708897573806,0.7122694629203267,0.2735605653465207
7,annualised_turnover,6.878871322226161,2.3428316326530614,-4.5360396895731
7,cost_share_of_gross,0.2505341088588398,0.07724002329268478,-0.17329408556615503
