comparison,seed,metric,base,rich,difference
data_value_boosted,5,b1_net_sharpe_10bp,0.4122661392048225,0.413684871568653,0.0014187323638304994
data_value_boosted,5,b1_gross_sharpe,0.47773526434892255,0.45910446331037247,-0.018630801038550082
data_value_boosted,5,b1_annualised_turnover,2.3077040816326533,2.2841071428571427,-0.023596938775510612
data_value_boosted,5,b1_net_max_drawdown,-0.12508369968447686,-0.19551269807457816,-0.0704289983901013
data_value_boosted,5,b1_cost_share_of_gross,0.1367471243584713,0.09893261179863026,-0.03781451255984104
data_value_boosted,5,positive_fold_count,6.0,7.0,1.0
data_value_boosted,6,mean_rank_ic,0.0348231745454743,0.030344441395495674,-0.004478733149978629
data_value_boosted,6,b1_net_sharpe_10bp,0.6438855980610434,0.4971561278497318,-0.1467294702113116
data_value_boosted,6,b1_gross_sharpe,0.7082793306002354,0.567199562541019,-0.1410797680592164
data_value_boosted,6,b1_annualised_turnover,2.3127040816326527,2.316632653061225,0.0039285714285721696
data_value_boosted,6,b1_net_max_drawdown,-0.12431920734232427,-0.1711677462578679,-0.046848538915543636
data_value_boosted,6,b1_cost_share_of_gross,0.09045540408636663,0.12355716388105094,0.03310175979468431
data_value_boosted,6,positive_fold_count,6.0,6.0,0.0
data_value_boosted,7,mean_rank_ic,0.031027854755376963,0.02824604701742122,-0.0027818077379557424
data_value_boosted,7,b1_net_sharpe_10bp,0.7122694629203267,0.4091043464005539,-0.3031651165197728
data_value_boosted,7,b1_gross_sharpe,0.7721399838226586,0.4711319214257463,-0.3010080623969123
data_value_boosted,7,b1_annualised_turnover,2.3428316326530614,2.2927551020408163,-0.05007653061224504
data_value_boosted,7,b1_net_max_drawdown,-0.08681404187171571,-0.18916250307921978,-0.10234846120750407
data_value_boosted,7,b1_cost_share_of_gross,0.07724002329268478,0.13169767557502146,0.05445765228233668
data_value_boosted,7,positive_fold_count,6.0,6.0,0.0
data_value_boosted,8,mean_rank_ic,0.032003833127675615,0.030865822384904654,-0.0011380107427709611
data_value_boosted,8,b1_net_sharpe_10bp,0.5945038812636393,0.4773020784340943,-0.11720180282954501
data_value_boosted,8,b1_gross_sharpe,0.6569400711112902,0.5419994984069084,-0.11494057270438174
data_value_boosted,8,b1_annualised_turnover,2.3326020408163264,2.2767857142857144,-0.05581632653061197
data_value_boosted,8,b1_net_max_drawdown,-0.13663593655684458,-0.19079841157583,-0.05416247501898541
data_value_boosted,8,b1_cost_share_of_gross,0.09479834711616576,0.11961737824125818,0.024819031125092414
data_value_boosted,8,positive_fold_count,6.0,6.0,0.0
data_value_boosted,9,mean_rank_ic,0.034525153325974015,0.033291538149151804,-0.00123361517682221
data_value_boosted,9,b1_net_sharpe_10bp,0.40669768593557387,0.5533040410681603,0.14660635513258646
data_value_boosted,9,b1_gross_sharpe,0.4704964495454175,0.6130666643896729,0.14257021484425542
data_value_boosted,9,b1_annualised_turnover,2.325204081632653,2.2991326530612244,-0.026071428571428523
data_value_boosted,9,b1_net_max_drawdown,-0.15027046351929396,-0.1705193695695535,-0.02024890605025953
data_value_boosted,9,b1_cost_share_of_gross,0.13534335079663437,0.09749810603128535,-0.03784524476534902
data_value_boosted,9,positive_fold_count,6.0,7.0,1.0
data_value_linear,0,mean_rank_ic,0.005329437332440931,0.01488409905175374,0.00955466171931281
data_value_linear,0,b1_net_sharpe_10bp,0.034861585882667405,-0.3427234667281637,-0.3775850526108311
data_value_linear,0,b1_gross_sharpe,0.08159770854406845,-0.2558497573479378,-0.33744746589200625
data_value_linear,0,b1_annualised_turnover,2.216326530612245,2.291530612244898,0.07520408163265335
data_value_linear,0,b1_net_max_drawdown,-0.31613642973254186,-0.3164351957972942,-0.0002987660647523205
data_value_linear,0,positive_fold_count,6.0,7.0,1.0
model_value_baseline,0,mean_rank_ic,0.005329437332440931,0.030335558551431274,0.025006121218990342
model_value_baseline,0,b1_net_sharpe_10bp,0.034861585882667405,0.7311257201483244,0.696264134265657
model_value_baseline,0,b1_gross_sharpe,0.08159770854406845,0.7843288908283712,0.7027311822843028
model_value_baseline,0,b1_annualised_turnover,2.216326530612245,2.3541836734693877,0.1378571428571429
model_value_baseline,0,b1_net_max_drawdown,-0.31613642973254186,-0.09415209656559986,0.221984333166942
model_value_baseline,0,b1_cost_share_of_gross,0.5726763204073363,0.0678450570535748,-0.5048312633537615
model_value_baseline,0,positive_fold_count,6.0,6.0,0.0
model_value_baseline,1,mean_rank_ic,0.005329437332440931,0.030773994582086964,0.025444557249646033
model_value_baseline,1,b1_net_sharpe_10bp,0.034861585882667405,0.7431124225077724,0.708250836625105
model_value_baseline,1,b1_gross_sharpe,0.08159770854406845,0.7901030948367112,0.7085053862926427
model_value_baseline,1,b1_annualised_turnover,2.216326530612245,2.356454081632653,0.14012755102040808
